0,Track Title,Artist Name,Album Name,Writer(s)/ Composer(s),Othername,ISNI code,IPI code,ISRC,SESAC Work ID,SESAC Publisher,ASCAP Work ID,ASCAP Publisher,ASCAP Publishers' IPI,BMI Work ID,BMI Publisher,GMR Work ID,GMR Publisher,GMR Publishers' IPI
74,Crazy in Love,Beyonce,,,Outcast.,['000000011537277X'],not found,cc8873b3-848f-4a02-baf8-95c9671ccbcc,507905,ASIAMARK PUBLISHING,330302177,EMI JEMAXAL MUSIC INC,340111233,6483135,EMI BLACKWOOD MUSIC INC,100058608,WARNER-GRANDVIEW MUSIC,No result
75,All my friends,Snakehips,,,not found,not found,not found,c1c4bd2a-8311-42e8-8752-b2ed61dbaf12,697953984,UNIVERSAL POLYGRAM INTERNATIONAL TUNES INC,310134100,CHAPPELL-CO INC,5876870,8677292,BMG BUMBLEBEE,100071213,MUSIC BY SMITH,847397783
76,Mr brightside,The Killers,,,"Killers, The",not found,not found,b3f2691c-e66d-4eb1-9dde-e63b6b422ee5,652329,BREUKELEN MUSIC PUBLISHING,No result,No result,No result,5712077,no result,No result,No result,No result
77,Single Ladies,Beyonce,,,"Killers, The",not found,not found,3eaf4872-458c-4521-9edb-94a641f1ad26,No result,No result,496106737,2082 MUSIC PUBLISHING,461641073,13976976,CONCORD COPYRIGHTS,No result,No result,No result
78,Pyramid Song,Radiohead,,,r/head,['0000000115475162'],not found,45e6908d-b34d-422f-b7a1-1f37e18f9aa0,No result,No result,460463098,WARNER CHAPPELL MUSIC LTD,160187388,5930855,AGE OF REASON,No result,No result,No result
79,My city of ruins,Bruce Springsteen,,,The Boss,['0000000121418834'],['00076333277'],2d5489d3-e0f0-40e5-b709-bf7547d31a68,688604838,ZFC MUSIC,430700208,No result,No result,no result,no result,100051952,SPRINGSTEEN BRUCE,36951665
80,Stillness is the move,Dirty Projectors,,,The Dirty Projectors,not found,not found,291a3267-b560-410a-bc33-e66fb4a26156,687017,DOMINO PUB COMPANY OF AMERICA,No result,No result,No result,16445813,EASY TEMPO,No result,No result,No result
81,You Should Be Sad,Halsey,,,Ashley Nicolette Frangipaine,['0000000451160151'],['00739536702'],947a27a6-1830-4992-b1f9-f0d43556135a,No result,No result,906285786,EMI APRIL MUSIC INC,128633767,41125317,17 BLACK MUSIC,No result,No result,No result
82,Imported,Jessie Reyez,,,not found,['0000000467123611'],not found,dddaf716-bb26-4ed6-aa31-46c8344266b6,828111,UNIVERSAL TUNES,880946679,GOOD EARNER,602346485,30489536,no result,No result,No result,No result
83,All in My Head,Fifth Harmony,,,1432,not found,not found,3f72dfe9-b5f0-45da-a576-54dbf85aa9b7,661341,SONGS WITHOUT BORDERS,10117410,WARNER CHAPPELL MUSIC FINLAND OY,255295942,22604,ORIGINAL SINSONGS,100061356,PLEASE DON'T FORGET TO PAY ME MUSIC,799869431
84,All the Cool Girls,Hailey Whitters,,,Hailey Faith Whitters,not found,['00594086123'],fe2f0f1d-7b49-4e90-9abe-78322b465b65,No result,No result,893862537,INKOMPETENT KOSMONAUT PUBLISHING,716467234,28636815,BIG ASS PILE OF DIMES MUSIC,No result,No result,No result
85,No Time to Die,Billie Eilish,,,Billie Eilish Pirate Baird O’Connell,['000000046748058X'],['00792187700'],636f12e1-bc0d-4f7f-83be-6f60d297e56e,155254,G I A PUBLICATIONS INC,884374127,WE ARE UNIFIED PTY LTD,652015382,1079354,no result,No result,No result,No result
86,Fried for the Night,Tokimonsta,,,tokimonsta,not found,not found,15c06879-cd1a-4b82-b89d-0bb8f36a388b,No result,No result,906500038,TOKIMONSTA PUBLISHING,701802682,42076865,DOCTUR DOT PUBLISHING,No result,No result,No result
87,Stupid Love,Lady Gaga,,,not found,['0000000120254559'],"['00519338344', '00519338442', '00519338540']",067a498f-ee30-4945-be3e-6865d8b80a6d,609525,EMI BLACKWOOD MUSIC INC,490692883,PW ARRANGEMENTS,859139694,42419194,HOUSE OF GAGA PUBLISHING LLC,100044650,MATZA BALL MUSIC,527859803
88,Like A prayer,Madonna,,,not found,['000000010782262X'],"['00125053706', '00128246872', '00211854787']",7383a548-c4c4-4021-a001-ad6b281ba48c,555993,AVIATRIX MUSIC,420346361,BLEU DISQUE MUSIC CO INC,3383615,871600,JOHNNY YUMA MUSIC,No result,No result,No result
89,Smoke on the water,Michael Sweeney,,,not found,not found,not found,11d3fca2-d0e2-44e2-b4b7-007087ace115,60499269,HAUS COLLECTION MUSIK,490306826,GLENWOOD MUSIC CORP,12050846,1360413,ADAMS VEE AND ABBOTT INC,No result,No result,No result
90,Rock you like a Hurricane,Scorpions,,,The Scorpions,['0000000110916387'],not found,b9875656-f1a2-4329-9406-eedb09c80350,No result,No result,480180463,EDITION ARABELLA MUSIK MUENCHEN,232906286,no result,no result,No result,No result,No result
91,Losing My Religon,Brooklyn Vegan,,,not found,not found,not found,b7c768cc-922b-4584-adb5-c61281d360f7,No result,No result,No result,No result,No result,no result,no result,No result,No result,No result
92,Good Riddance,McConnell's,,,not found,['000000000312937X'],not found,8d299549-f9bf-4797-bdfc-57c445e13ee1,556943,GREEN DAZE MUSIC,370405777,OZONENIX PUBLISHING,489904003,3710941,DOWNTOWN DMP SONGS,No result,No result,No result
93,Welcome to the Jungle,Alessandro Pasetti,,,Scarlatti,['0000000121253953'],not found,191a8341-cc50-44fe-87e3-eef9a070cb4f,575895,GUNS N' ROSES MUSIC,530320082,BLACK FROG MUSIC,345597038,1625614,STARWILD MUSIC,100055401,BLOOD MERIDIAN,847397685
94,Tears in Heaven,Phoebe Bridgers,,,not found,not found,not found,c864f07a-2f12-40c1-b7d4-059008c6fd5f,64545,VAUGHAN JAMES D MUSIC PUBLISHER,502211618,No result,No result,1463453,BLUE SKY RIDER SONGS,No result,No result,No result
95,Nothing Eles Matters,Metallica,,,Metalica,['0000000122939631'],not found,abcc0ad6-6c2e-4c0a-ba03-76c73730dc8e,No result,No result,No result,No result,No result,no result,no result,No result,No result,No result
96,Livin On A Prayer,Benjamin chase,,,B. Britten,['0000000121181099'],['00004252041'],9819de5e-2bfd-481a-a049-41e5e6b59f69,602002,BMG SILVER SONGS US,420325553,AGGRESSIVE MUSIC,129573848,15177678,TUNECORE DIGITAL MUSIC,100050590,BON JOVI PUBLISHING,126061999
97,Comforitably numb,Pink floyd's,,,Pink Floid,['0000000109397559'],not found,a9f53d92-7383-4c7d-8a50-6756050d2cba,No result,No result,No result,No result,No result,no result,no result,No result,No result,No result
98,Sweet child O' mine,Billboard,,,Billboard Matt,not found,['00519444445'],446b75dc-de9d-47ed-bbf9-85e23a7b1cbe,689864622,GUNS N' ROSES MUSIC,497094696,GUNS N' ROSES MUSIC,127501401,19016923,no result,100055382,BLOOD MERIDIAN,847397685
99,Another Brick in the wall Part 2,Bassist rogers,,,Kenny Rodgers,['0000000073670305'],not found,92dbdad1-3689-4f55-832c-9cf4966eaa5b,No result,No result,No result,No result,No result,14652106,BMG PLATINUM SONGS US,No result,No result,No result
100,Walk this Way,Elaine cushman,,,not found,not found,not found,24baa43c-daf8-4ac5-9fa1-c75a740bd4fa,162146,SCHMIDT-A-P CO,530352575,No result,No result,1599866,MUSIC OF STAGE THREE AEROSMITH ACCOUNT,No result,No result,No result
101,Good Vibrations,The Beach boys,,,not found,['0000000121941107'],not found,aeaa3f88-e945-43cc-928c-507b4e7a24c4,703132,DASHING SUNS MUSIC,370131072,KPM APM,445332863,497382,IRVING MUSIC,No result,No result,No result
102,Let it Be,The Beatles,,,not found,['0000000121707484'],not found,d9b6e695-2b79-4732-97a4-b1b6c6b5bfdc,1790,EMANDELL TUNES,420021372,UNIVERSAL MUSIC CORPORATION,31312147,852033,no result,100081917,HARRISONGS LTD,No result
103,A Day in the Life,The Beatles,,,not found,['0000000121707484'],not found,672fac4d-14d8-4e8f-9892-0cadbef7353a,554564,JERSONGS,310405415,COSMIC LOUNGE MUSIC INC,337648927,282496,no result,100065813,TEMPO INVESTMENTS/SMACK HITS,No result
104,Wont Get Fooled Again,The Who,,,High Numbers,['0000000123373203'],not found,d52a4624-da90-4c9b-951b-82a18902a732,No result,No result,530595018,No result,No result,27995725,ABKCO MUSIC INC,100051063,TOWSER TUNES,347220
105,November Rain,Guns N Roses,,,not found,['0000000121589641'],not found,4e50023e-fda3-46c9-8826-2336a096b24f,575897,GUNS N' ROSES MUSIC,440194612,GUNS N' ROSES MUSIC,127501401,1090025,no result,100055334,BLOOD MERIDIAN,847397685
106,Hotel California,Eagles,,,not found,['0000000115265624'],not found,6afe8845-7cb6-41fd-b13c-3e2492308956,1078499,BMG RIGHTS MANAGEMENT (UK) LIMITED,380174570,FINGERS MUSIC,88231955,6576413,REVERB AMERICA MUSIC,100041852,CASS COUNTY MUSIC CO,88231759
107,Born To Run,Bruce Springsteen,,,The Boss,['0000000121418834'],['00076333277'],7d7cf501-cc26-4047-8c0a-94303aafa06f,722588,PULSE WORLDWIDE,320192967,No result,No result,140758,IRVING MUSIC,100051785,SPRINGSTEEN BRUCE,36951665
108,Like a Rolling Stone,Bob Dylan,,,Robert Allen Zimmerman,['0000000121479733'],"['00008955074', '00008955172']",2e7921ad-697c-42c8-a6fd-8ec1cb89efb9,514773,SPECIAL RIDER MUSIC,889717712,GZ 2538 S.R.L.,184868614,871651,UBU PROJEX,No result,No result,No result
109,Bohemian Rhapsody,Queen,,,not found,['0000000115265309'],not found,acef58d0-d72f-4809-b8e0-c6f042480e17,10007881,BRICK AND MOTOR LOVE IS WORN,320199817,QUEEN MUSIC LTD,46593362,5276058,FEIERABEND MUSIC,No result,No result,No result
110,"No Woman, No Cry",Bob marley,,,Bobby Martell,['0000000122768131'],"['00019675460', '00034755283', '00581446340']",5f754a5b-6ef0-4c8a-ae26-21c7c35a104a,695045,JARED PIZARRO PUBLISHING,897406651,MORGANACTIVE SONGS INC,126837953,1080253,UNIVERSAL SONGS OF POLYGRAM INTERNATIONAL INC,No result,No result,No result
111,You’ve Lost That Lovin’ Feeling,The Righteous Brothers,,,Righteous Brothers,['0000000090086047'],not found,02484fc4-3757-4f3c-bc90-d3017bda5076,No result,No result,440085552,BLACKWELL FULLER MUSIC PUBLISHING LLC,659427604,No result,No result,No result,No result,No result
112,Sympathy For The Devil,The rolling stones,,,not found,['0000000121924040'],not found,c1c5eae0-af66-4bc2-abd8-f90ca5332e50,999988,DEFENSIVE MUSIC PUBLISHING,492616872,EL NEGRO MUSIC PUBLISHING,349764907,1444456,ABKCO MUSIC INC,No result,No result,No result
113,I Walk The Line,Johnny cash,,,Johhny Cash,['0000000108823456'],['00005462217'],d24e14be-0644-486b-bd52-7abab24a9e1c,No result,No result,394031957,KASSNER ASSOC PUBL LTD,54570188,687432,HOUSE OF CASH INC,No result,No result,No result
114,People Get Ready,Curtis Mayfiled,,,not found,not found,not found,bdd0774d-19c4-47a7-9b66-88121375186f,537627,SUNRISE 7 MUSIC PUBLISHING,460347786,EMI APRIL MUSIC INC,128633767,1164443,MIJAC MUSIC,No result,No result,No result
115,Baba O’Riley,The Who,,,High Numbers,['0000000123373203'],not found,acb7ea75-4243-4ba5-b6f6-eab293b805d4,No result,No result,No result,No result,No result,70063,ABKCO MUSIC INC,No result,No result,No result
116,Be My Baby,The Ronettes,,,Ronettes,not found,not found,cd67da89-2dc6-49df-bd48-29054e8d4927,4932,AUGSBURG FORTRESS PUBLISHERS,320024086,LEO TALENT # MUSIC PUBLISHERS,853875789,1450428,UNICHAPPELL MUSIC INC,100043976,MATZA BALLZACK MUSIC,680678212
117,Behind Blue Eyes,Limp Bizkit,,,Limp Biskit,['0000000123149113'],not found,74179053-c6c4-4d1c-924a-31886815489e,57808399,RESL MOTION AUDIO,321067172,THIRSTY MOON RIVER PUBLISHING,336864633,101422,ALLEY MUSIC CORP,100050982,TOWSER TUNES,347220
118,Hound Dog,Elvis Presley,,,Elvis Aaron Presley,['0000000121241960'],"['00056021705', '00056021803', '00058226279']",8d70aa24-55a0-4a51-bd55-8abbd8fa6ae1,648183,SHALOHA MUSIC,334500035,BWN MUSIC,541197262,94632,SONY/ATV SONGS LLC,No result,No result,No result
119,Rock Around The Clock,Bill Haley,,,"William John Clinton Haley, Jr.",['0000000114786233'],['00013220646'],7a99f156-e68f-4bfb-b656-041d3e7941cf,No result,No result,610360824,No result,No result,1799969,No result,No result,No result,No result
120,Here Comes The Sun,The Beatles,,,not found,['0000000121707484'],not found,bf0fe09f-83c4-4321-acf2-aaf9fbcd74a0,712760,CAREERS BMG MUSIC PUBLISHING,380141908,HARRISONGS LTD,42089299,557846,PARKER MUSIC,100083762,HARRISONGS LTD,No result
121,You Really Got Me,The Kinks,,,Muswell Ravens,['0000000115404823'],not found,0672d4a6-646c-4580-b97b-28083df10cce,650256,CHRISTALEEP,550578679,SONY/ATV TUNES LLC,338164558,1733421,JAY-BOY MUSIC CORP,100050689,BON JOVI PUBLISHING,126061999
122,Purple Haze,Jimi Hendrix,,,not found,['0000000110259073'],['00041212145'],7cb2a969-2237-486d-a4da-fc154e02fbb7,12853944,CAPTAINGETDOWN,460117248,EXPERIENCE HENDRIX LLC,338387727,28205641,ROBERT STERLING MUSIC PUBLISHING,No result,No result,No result
123,What A Wonderful World,Louis Armstrong,,,not found,['0000000110198071'],['00001334546'],e5b9a91f-904e-4422-9ed1-b53aebb70bbe,507252,TWINS STING,530035800,CHAPPELL-CO INC,5876870,1629736,ABKCO MUSIC INC,No result,No result,No result
124,The Sound Of Silence,The Kinks,,,Muswell Ravens,['0000000115404823'],not found,6edfa417-7f7c-41a1-b52d-6e29a156ffaa,1059121,THINK MUSIC,884540853,GAMMA STRENGTH PUBLISHING,471724452,38656025,TUNECORE DIGITAL MUSIC,No result,No result,No result
125,A Day In The Life,The Beatles,,,not found,['0000000121707484'],not found,672fac4d-14d8-4e8f-9892-0cadbef7353a,554564,JERSONGS,310405415,COSMIC LOUNGE MUSIC INC,337648927,282496,No result,100065813,TEMPO INVESTMENTS/SMACK HITS,No result
126,Light My Fire,The Doors,,,Jim Morrison & the Doors,"['0000000115160232', '0000000412022725']",not found,91c569a2-22a4-48fd-adfd-3c0963603f83,37456,SCHMIDT-A-P CO,420138596,DOORS MUSIC COMPANY,41943490,870167,CHRIS WHITE MUSIC,No result,No result,No result
127,Paint It Black,The Rolling Stones,,,not found,['0000000121924040'],not found,dee6539b-e09d-4ed5-b5c8-c70fb0a8447d,806530,GOOD SONGS PUBLISHING A/S,460278655,UNIVERSAL MUSIC CORPORATION,31312147,1147261,ABKCO MUSIC INC,No result,No result,No result
128,All Along The Watchtower,Jimi Hendrix,,,not found,['0000000110259073'],['00041212145'],728e1261-38fa-42cd-bcc8-03f57f7498aa,514986,All Along The Watchtower,883156235,HITS FROM DA BONG MUSIC,338093750,25467176,TUNECORE DIGITAL MUSIC,No result,No result,No result
129,Stairway To Heaven,Led Zeppelin,,,not found,['0000000123483226'],not found,ee940b76-9f18-41dd-a191-7305be288fe0,543342,BARCAROLE PUBLISHING,490294198,SUPERHYPE PUBL INC,39888619,1400435,NEIL SEDAKA MUSIC,No result,No result,No result
130,God Only Knows,The Beach Boys,,,not found,['0000000121941107'],not found,b8e26e90-677a-4b1b-958d-b31a68c4fc11,546292,GUYER SONGS,370128433,COLGEMS EMI MUSIC INC,10397316,484174,MARQUIS SONGS USA,No result,No result,No result
131,Family Affair,Mary J Blige,,,,,,,,,,,,5577656,COLORSCAPES PUBLISHING,No result,No result,No result
132,Pyramid Song,Radiohead,,,,,,,,,,,,1213776,UNICHAPPELL MUSIC INC,No result,No result,No result
133,My City of Ruins,Bruce Springsteen,,,,,,,,,,,,No result,No result,100051665,SPRINGSTEEN BRUCE,36951665
134,Heartbeats,The Knife,,,,,,,,,,,,547568,BMG PLATINUM SONGS US,100064011,SPRUCE ROAD PUBLISHING,799432288
135,Try Again,Aaliyah,,,,,,,,,,,,1550800,SONGS OF UNIVERSAL INC,100078077,FOX GLOBAL MUSIC INC,801538365
136,Stillness Is the Move,Dirty Projectors,,,,,,,,,,,,16445813,EASY TEMPO,No result,No result,No result
137,Standing in the Way of Control,Gossip,,,,,,,,,,,,No result,No result,No result,No result,No result
138,Dirt Off Your Shoulder,Jay-D,,,,,,,,,,,,7427244,BIG BAD MR HAHN MUSIC,No result,No result,No result
139,Get The Party Started,P!nk,,,,,,,,,,,,14387559,THE REDEMPTIVE PROCESS,No result,No result,No result
140,Gone Gone Gone,Phillip Phillips,,,,,,,,,,,,539929,GOOD OL HARLAN SONGS,100002948,No result,334307783
141,Not Ready to Make Nice,The chicks,,,,,,,,,,,,8055950,SONGS OF KOBALT MUSIC PUBLISHING,No result,No result,No result
142,Hung Up,Madonna,,,,,,,,,,,,15507115,ALEXEI MISOUL MUSIC,100061283,WE ARE CREATIVE NATION,816507735
143,Wolf Like Me,Tv on the Radio,,,,,,,,,,,,15463941,CD BABY BETA,No result,No result,No result
144,No One Knows,Queens of the Stone Age,,,,,,,,,,,,6139627,BOARDSTIFF MUSIC INC,100051395,No result,No result
145,Use Somebody,Kings Of Leon,,,,,,,,,,,,9856673,No result,No result,No result,No result
146,I Bet You Look Good On The Dance Floor,Arctic Monkeys,,,,,,,,,,,,No result,No result,No result,No result,No result
147,Viva La Vida,Coldplay,,,,,,,,,,,,886854,SCREEN GEMS-EMI MUSIC INC,No result,No result,No result
148,Boulevard of Broken Dreams,Green day,,,,,,,,,,,,143067,LONPORT MUSIC INC,No result,No result,No result
149,Vertigo,Irish rock band U2,,,,,,,,,,,,1584458,EMI GOLD HORIZON MUSIC CORP,100002799,ROCK DOG MUSIC,125248492
150,Are You Gonna Be My Girl,Australian rock band Jet,,,,,,,,,,,,3800482,LOOKS MUSIC,No result,No result,No result
151,Irreplaceable,Beyonce,,,,,,,,,,,,7968400,STELLAR SONGS LIMITED,No result,No result,No result
152,Hard to Explain,The strokes,,,,,,,,,,,,526770,SAY-BAH MUSIC,No result,No result,No result
153,Fell In Love With a Girl,The White Stripes,,,,,,,,,,,,5807803,PEPPERMINT STRIPE MUSIC,No result,No result,No result
154,New Slang,The shins,,,,,,,,,,,,5739412,LETTUCE FLAVORED MUSIC,No result,No result,No result
155,The Scientist,Coldplay,,,,,,,,,,,,8009296,BRUIN MUSIC COMPANY,No result,No result,No result
156,House of Jealous Lovers,The Rapture,,,,,,,,,,,,No result,No result,No result,No result,No result
157,Beautiful,Christina Aguilera,,,,,,,,,,,,6340394,EMI BLACKWOOD MUSIC INC,100055514,APOCRAPHEX,437803450
158,Single Ladies,Beyonce,,,,,,,,,,,,13976976,CONCORD COPYRIGHTS,No result,No result,No result
159,Mr. Brightside,The Killers,,,,,,,,,,,,5712077,No result,No result,No result,No result
160,American Idiot,Green day,,,,,,,,,,,,26836668,CORE CATALOG,No result,No result,No result
161,Wake Up,The Vamps,,,,,,,,,,,,28011587,EMI BLACKWOOD MUSIC INC,100068233,FOX GLOBAL MUSIC INC,801538365
162,All My Friends,Snakehips,,,,,,,,,,,,8677292,BMG BUMBLEBEE,100071213,MUSIC BY SMITH,847397783
163,Clint Eastwood,Gorillaz,,,,,,,,,,,,5450554,EMI BLACKWOOD MUSIC INC,No result,No result,No result
164,Losing My Edge,LCD soundsystem,,,,,,,,,,,,23917220,BMG PLATINUM SONGS US,No result,No result,No result
165,Moment of Surrender,U2,,,,,,,,,,,,10433626,UPALA MUSIC INC,No result,No result,No result
166,One More Time,Daft punk,,,,,,,,,,,,5404295,TTUFF TTONY MUSIC,100054101,HUDMAR PUBLISHING CO INC,14526117
167,Take Me Out,Franz Ferdinand,,,,,,,,,,,,1450617,No result,No result,No result,No result
168,A Few Words in Defense of Our Country,Randy Newman,,,,,,,,,,,,No result,No result,No result,No result,No result
169,Such Great Heights,The Postal Service,,,,,,,,,,,,6230492,DYING SONGS,No result,No result,No result
170,Everything in Its Right Place,Radiohead,,,,,,,,,,,,25285812,B LION MUSIC,No result,No result,No result
171,Cry Me a River,Justin Timberlake,,,,,,,,,,,,261641,EMBASSY MUSIC CORPORATION,No result,No result,No result
172,Since U Been Gone,Kelly Clarkson,,,,,,,,,,,,17552528,No result,No result,No result,No result
173,Lose Yourself,Eminem,,,,,,,,,,,,6152528,EIGHT MILE STYLE MUSIC,100001861,MORE WATER FROM NAZARETH PUBLISHING INC,602234598
174,Time to Pretend,Brooklyn Vegan,,,,,,,,,,,,12692433,BASED OUT MUSIC PUBLISHING,No result,No result,No result
175,Beautiful Day,Tom Hanks,,,,,,,,,,,,16126288,ACHTOBER SONGS,100055005,No result,No result
176,Seven Nation Army,Kake,,,,,,,,,,,,6406560,PEPPERMINT STRIPE MUSIC,No result,No result,No result
177,Paper Planes,Remi wolf,,,,,,,,,,,,9882699,EMI BLACKWOOD MUSIC INC,100033249,TEMPO INVESTMENTS/SMACK HITS,No result
178,Crazy in Love,Beyonce,,,,,,,,,,,,6483135,EMI BLACKWOOD MUSIC INC,100058608,WARNER-GRANDVIEW MUSIC,No result
179,99 Problems,Jay-Z,,,,,,,,,,,,6810466,UNIVERSAL MUSIC CAREERS,No result,No result,No result
180,In Da Club,Rick Ross,,,,,,,,,,,,7394896,C AMORE MUSIC,No result,No result,No result